"Date" "pv" "ghidfm" "Mean" "cfcdfm" "Year" "Kt" "taxdfm" "km" "PC1" "PC2" "PC3" "PC4" "Month"
"2014-01-04" 3.16170148788311 145.229927007299 0.013873 33.5487364620939 2014 0.585572317751083 18.9184123296586 8 -1.57619030988537 -0.572193313119359 0.128380763471703 1.07640664789271 "01"
"2014-01-13" 3.5673835085531 164.912408759124 0.0711865 54.7870036101083 2014 0.641941252236975 19.7331741423834 8 -1.3273487582376 -0.218484688240286 -0.224253656587663 0.13380096108619 "01"
"2014-01-20" 3.34636159123307 156.036496350365 0.0637845 36.4512635379061 2014 0.58580547439043 17.9701583158402 8 -1.42244817848946 -0.325692775225849 -0.154948735360189 0.831795254622343 "01"
"2014-01-24" 3.43591856735567 146.894160583942 0.018264 41.115523465704 2014 0.538752610934921 16.3846028626911 8 -1.90270782617069 -0.534929538741908 0.0764931519438324 0.524167106162255 "01"
"2014-01-25" 4.025113595866 157.105839416058 0.016916 41.086642599278 2014 0.572708853862592 17.7766662476555 8 -1.32513798777937 -0.58745327930581 0.168261744185298 0.32244472811933 "01"
"2014-01-27" 4.01058000712758 169.624087591241 0.0583375 36.0216606498195 2014 0.610703400262794 17.7098408048115 8 -0.835263974343725 -0.404234723023806 -0.0340294221736301 0.563381570101538 "01"
"2014-01-30" 3.8090141660727 152.003649635037 0.118328 50.057761732852 2014 0.536851466068649 15.614444077961 8 -1.8044132336345 -0.0345735953103107 -0.50461435924733 0.0247041563540719 "01"
"2014-02-01" 2.98662464362081 150.394160583942 0.016603 36.2815884476534 2014 0.524244178546686 18.2853963640001 8 -2.07457886829152 -0.525769953114657 0.0482820466174376 0.818110937593049 "02"
"2014-02-17" 4.69206053991447 184.821167883212 0.054225 51.6931407942238 2014 0.577710511832579 16.1380949550205 8 -0.979321033675304 -0.397446835608576 -0.0192860597423561 -0.525078438153284 "02"
"2014-02-18" 4.35441910192445 194.890510948905 0.070749 41.2960288808664 2014 0.605044071879822 15.9580948844789 8 -0.631102863138374 -0.334292169897239 -0.0953424593544602 0.0264938309178645 "02"
"2014-02-20" 3.21738016749822 164.839416058394 0.005147 40.3574007220217 2014 0.50484997624034 16.8934915633429 8 -2.0881497826632 -0.573068046667082 0.112199802136377 0.401257875405549 "02"
"2014-02-21" 4.35007573057733 177.36496350365 0.005411 40.4404332129964 2014 0.539559086235402 18.0668250492641 8 -1.22337841442575 -0.661891640136048 0.256052999602153 -0.0298251465731601 "02"
"2014-02-23" 2.76324171418389 192.032846715328 0.034853 37.85559566787 2014 0.576404990587599 17.6163488115583 8 -1.56813411248219 -0.391250394619903 -0.0666952015183722 0.700468479685492 "02"
"2014-02-24" 3.37196520848183 174.51094890511 0.0402385 47.2851985559567 2014 0.520341452543403 17.5779360211085 8 -1.97335594561481 -0.378060764737293 -0.0976424965520222 0.0589660234545911 "02"
"2014-02-25" 4.69463315217391 195.916058394161 0.009667 42.3465703971119 2014 0.580318177066838 16.901428283207 8 -0.702315972899275 -0.653240658781971 0.2817696806017 -0.251000330091458 "02"
"2014-03-05" 4.62746681218817 196.295620437956 0.022254 64.2310469314079 2014 0.552429184201734 17.9830154994177 8 -1.42161547010905 -0.480378978398513 0.0909931133889267 -1.16188037052964 "03"
"2014-03-06" 3.85711421952958 195.580291970803 0.0382156666666667 54.4620938628159 2014 0.547036458309079 18.9323805703057 8 -1.58707455190657 -0.38467036209357 -0.0498307273717561 -0.485613932794042 "03"
"2014-03-08" 3.70024055595153 215.813868613139 0.053878 53.5812274368231 2014 0.596346109539495 20.3457136456929 8 -1.16655806690995 -0.291102824861901 -0.131142757495025 -0.38574054834466 "03"
"2014-03-10" 4.8289602637206 210.740875912409 0.059191 57.884476534296 2014 0.575444081361063 17.2814282538399 8 -0.880250872332601 -0.341657498169143 -0.0630038308350054 -1.01505599273728 "03"
"2014-03-11" 4.73092814504633 214.770072992701 0.089753 55.6209386281588 2014 0.583025378364676 17.6249201638358 8 -0.764433089615765 -0.193899426361319 -0.238807219049726 -0.88378236645471 "03"
"2014-03-21" 4.25659858339273 215.631386861314 0.013896 75.8592057761733 2014 0.554180558833896 18.2804758435204 8 -1.739036301538 -0.424127964936744 0.046218079139769 -1.61236997345175 "03"
"2014-03-23" 4.88263431040627 200.467153284672 0.011596 46.6642599277978 2014 0.510035399336127 17.3166662473527 8 -1.1226962171852 -0.633693137387694 0.236095544384501 -0.734634691320059 "03"
"2014-04-03" 2.71215698503207 213.770072992701 0.0385385 39.9386281588448 2014 0.517262915884231 19.0971425525726 8 -1.85386602700588 -0.345207859099061 -0.135720232551526 0.304958996493185 "04"
"2014-04-15" 4.20969017284391 248.156934306569 0.020062 40.5667870036101 2014 0.57432497751039 20.6104756461249 8 -0.541538612361837 -0.5428508083639 0.166226582489972 -0.389737565258602 "04"
"2014-04-16" 3.65250245010691 242.722627737226 0.020054 61.0072202166065 2014 0.559929968294084 21.8812694549561 8 -1.43692194587551 -0.400383157388383 0.00697213270377736 -0.976047167412237 "04"
"2014-04-21" 3.93572367248753 262.270072992701 0.0451185 48.6353790613718 2014 0.595914935048621 20.8036502807859 8 -0.60374105923892 -0.352962276102841 -0.0360039995936737 -0.628563457788795 "04"
"2014-05-19" 3.01540226300784 276.762773722628 0.08864 56.8628158844765 2014 0.59450525994664 22.3157136402433 8 -1.109884970717 -0.0168678901423037 -0.432019511240724 -0.687007521927395 "05"
