"Date" "pv" "ghidfm" "Mean" "cfcdfm" "Year" "B0" "Kt" "taxdfs" "taxdfm"
"1" 2010-01-01 NA 127.832116788321 0.085056 53.1083032490975 "2010" 5902.26512549277 0.519795491678048 1232.62996673584 19.565555027553
"2" 2010-01-02 NA 148.978102189781 NA 39.2924187725632 "2010" 5917.50152625211 0.604220283964895 1280.95996856689 20.3326979137602
"3" 2010-01-03 NA 153.861313868613 0.07408 35.4223826714801 "2010" 5933.98216555494 0.622292320708615 1355.6499710083 21.5182535080683
"4" 2010-01-04 NA 150.897810218978 0.078997 25.7075812274368 "2010" 5951.69683745963 0.608489905342904 1268.98996829987 20.1426979095217
"5" 2010-01-05 NA 147.306569343066 0.050476 45.0324909747292 "2010" 5970.63448964268 0.592124282664832 1236.86997032166 19.6328566717723
"6" 2010-01-06 NA 150.959854014599 0.058759 44.101083032491 "2010" 5990.78323672075 0.60476841728187 1316.10997200012 20.8906344761924
"7" 2010-01-07 NA 148.463503649635 0.078188 44.4945848375451 "2010" 6012.13037464575 0.592655825066201 1209.65997362137 19.2009519622439
"8" 2010-01-08 NA 134.656934306569 0.069356 46.927797833935 "2010" 6034.66239614207 0.535533922398661 1067.11997556686 16.9384123105851
"9" 2010-01-09 NA 156.164233576642 0.069417 58.2093862815885 "2010" 6058.36500715258 0.618639121514559 1094.67997550964 17.3758726271372
"10" 2010-01-10 NA 127.970802919708 0.068691 54.6498194945848 "2010" 6083.22314425758 0.504880257922518 1230.27996110916 19.5282533509391
"11" 2010-01-11 NA 176.751824817518 0.071191 20.2238267148014 "2010" 6109.22099302897 0.69436738341286 1321.77996921539 20.9806344319904
"12" 2010-01-12 NA 163.543795620438 0.07923 40.4693140794224 "2010" 6136.34200727956 0.639640210769578 1325.83997058868 21.0450788982331
"13" 2010-01-13 NA 162.56204379562 0.065476 53.2996389891697 "2010" 6164.56892916556 0.632889192403434 1407.23997116089 22.3371423993792
"14" 2010-01-14 NA 164.959854014599 0.048692 52.7617328519856 "2010" 6193.88381009886 0.639184818077363 1408.03996944427 22.3498407848298
"15" 2010-01-15 NA 142.105839416058 0.062212 48.5234657039711 "2010" 6224.26803242345 0.547942364984801 1339.98997688293 21.269682172745
"16" 2010-01-16 NA 177.324817518248 0.054399 10.9494584837545 "2010" 6255.7023318093 0.680306605830312 1349.0399684906 21.4133328331841
"17" 2010-01-17 NA 183.576642335766 0.053086 5.1841155234657 "2010" 6288.16682031591 0.700655619030961 1498.92996788025 23.7925391727024
"18" 2010-01-18 NA 169.985401459854 0.331073 29.8808664259928 "2010" 6321.64101007587 0.645346616255821 1428.72996330261 22.6782533857558
"19" 2010-01-19 NA 182.14598540146 0.304422 17.8303249097473 "2010" 6356.10383754876 0.687764668634003 1336.48996543884 21.2141264355372
"20" 2010-01-20 NA 177.583941605839 0.185634 12.4043321299639 "2010" 6391.5336882944 0.66682189383523 1236.80996990204 19.6319042841593
"21" 2010-01-21 NA 176.029197080292 0.138885 23.1841155234657 "2010" 6427.90842221401 0.657243453457892 1218.61997413635 19.3431741926405
"22" 2010-01-22 NA 175.390510948905 0.126305 43.7870036101083 "2010" 6465.20539920771 0.651080979312671 1213.45997905731 19.2612695088462
"23" 2010-01-23 NA 154.321167883212 NA 29.5703971119134 "2010" 6503.40150519648 0.569503209395524 1227.82996749878 19.4893645634727
"24" 2010-01-24 NA 151.70802919708 0.088174 45.9386281588448 "2010" 6542.47317845658 0.556516259435223 1074.17997646332 17.0504758168781
"25" 2010-01-25 NA 139.047445255474 NA 56.7256317689531 "2010" 6582.39643621512 0.506979292187732 1153.0499753952 18.3023805618286
"26" 2010-01-26 NA 113.872262773723 NA 66.2346570397112 "2010" 6623.14690145536 0.412633804931733 1151.36997413635 18.2757138751802
"27" 2010-01-27 NA 158.401459854015 0.042017 68.1480144404332 "2010" 6664.69982988109 0.57041354202507 1047.89997959137 16.6333330093868
"28" 2010-01-28 NA 119.270072992701 NA 77.8592057761733 "2010" 6707.03013699056 0.426788264456675 1021.4099779129 16.2128567922683
"29" 2010-01-29 NA 157.266423357664 0.065436 60.9025270758123 "2010" 6750.11242521053 0.559160192130611 1015.57998037338 16.1203171487839
"30" 2010-01-30 NA 145.722627737226 0.0595 60.3898916967509 "2010" 6793.92101104276 0.514775349906025 1103.78997325897 17.5204757660154
"31" 2010-01-31 NA 124.594890510949 NA 79.2129963898917 "2010" 6838.4299521764 0.437275426256445 1290.81997203827 20.4892059053693
"32" 2010-02-01 NA 81.036496350365 NA 82.8086642599278 "2010" 6883.61307452034 0.28253707629322 1227.98997116089 19.4919043041411
"33" 2010-02-02 NA 110.642335766423 NA 72.0324909747292 "2010" 6929.4439991122 0.383207665540608 1274.48996734619 20.2299994816856
"34" 2010-02-03 NA 134.744525547445 0.053724 58.884476534296 "2010" 6975.89616886094 0.463577515326856 1208.58996677399 19.1839677265712
"35" 2010-02-04 NA 199.266423357664 0.077638 31.5090252707581 "2010" 7022.94287508241 0.680967259117542 1258.15997028351 19.9707931791033
"36" 2010-02-05 NA 206.835766423358 0.054078 9.65703971119134 "2010" 7070.55728378912 0.702074560026808 1289.6899728775 20.471269410754
"37" 2010-02-06 NA 203.321167883212 0.519745 4.0072202166065 "2010" 7118.7124616962 0.685476208717999 1429.48996734619 22.690316942003
"38" 2010-02-07 NA 183.503649635037 0.531101 54.0685920577617 "2010" 7167.38140190831 0.614462569282038 1478.92996788025 23.475078855242
"39" 2010-02-08 NA 137.204379562044 NA 66.2815884476534 "2010" 7216.53704925413 0.456299896614456 1336.26997566223 21.2106345343211
