"Date" "pv" "ghidfm" "Mean" "cfcdfm" "Year" "Kt" "taxdfm" "km" "PC1" "PC2" "PC3" "PC4" "Month"
"2014-02-27" 5.54250935495367 247.204379562044 0.037458 8.28158844765343 2014 0.722716451069408 18.8584121673826 4 1.83709148189954 -0.73193784636313 0.434205283745029 0.811159130046053 "02"
"2014-02-28" 5.35438012295082 236.875912408759 0.0529925 17.2093862815884 2014 0.688049909765664 18.1158726253207 4 1.25177135503432 -0.601779636117898 0.266260950092212 0.513353902670753 "02"
"2014-03-01" 5.09501960085531 236.759124087591 0.026625 21.086642599278 2014 0.683303938008277 18.7501582493858 4 0.972899858528373 -0.689375052445136 0.371120746117337 0.439023853034483 "03"
"2014-03-12" 5.06267818959373 255.529197080292 0.0423385 38.4368231046931 2014 0.68967112900317 18.6780949244424 4 0.734169010035681 -0.517822295843308 0.202088493857442 -0.339562726289558 "03"
"2014-03-13" 5.37967747683535 266 0.0530875 33.898916967509 2014 0.713838406366851 19.0131742235214 4 1.23939546242014 -0.509595241426045 0.206914638591432 -0.285737282142243 "03"
"2014-03-14" 5.54744297933001 263.087591240876 0.083878 36.6787003610108 2014 0.702044700183976 18.0376187127734 4 1.19124528687751 -0.361819393011297 0.0285423835778104 -0.461596149081493 "03"
"2014-03-15" 5.62783989665003 263.35401459854 0.0708605 42.8194945848375 2014 0.69884399523219 18.4517456993224 4 1.05111812232221 -0.402233803464259 0.0851369393001075 -0.74940999131633 "03"
"2014-03-16" 5.63223895224519 267.686131386861 0.0609825 24.158844765343 2014 0.706434979785191 19.4031742489527 4 1.57123331802963 -0.537896538476508 0.227984685724876 -0.0341645443309213 "03"
"2014-03-17" 5.3031561831789 262.189781021898 0.0670375 26.5667870036101 2014 0.688174518475269 20.063491533673 4 1.20267619924011 -0.471278665435722 0.135771250557347 -0.0124424252526013 "03"
"2014-03-18" 5.48556664290805 264.992700729927 0.1282725 21.898916967509 2014 0.691805518248057 18.6995234110999 4 1.51201373321454 -0.210062479425646 -0.178413953027398 0.112963938910338 "03"
"2014-03-19" 5.43337379722024 258.5 0.119915 30.129963898917 2014 0.671288183658279 19.497936021714 4 1.1025621184585 -0.209429809308347 -0.181588190304391 -0.205419242715691 "03"
"2014-03-24" 5.66733673378475 266.412408759124 0.049464 31.6931407942238 2014 0.674479044538644 18.1477774059962 4 1.18397284607749 -0.560110842634112 0.249778864399531 -0.432648325613393 "03"
"2014-03-25" 5.86154668567356 289.64598540146 0.0417015 11.7942238267148 2014 0.729744169854655 19.2961900347755 4 2.26888691908047 -0.699620599288095 0.430485256326464 0.261652771706265 "03"
"2014-03-26" 5.942528287598 292.416058394161 0.050374 17.2166064981949 2014 0.733205555256726 19.1861901510329 4 2.22949943783503 -0.637082917900547 0.367119590384683 0.0114704888906876 "03"
"2014-03-27" 5.69003920171062 288.919708029197 0.0536125 26.927797833935 2014 0.721033570694876 18.6015867959885 4 1.77310070735981 -0.5549178077937 0.271251135361304 -0.279769368378982 "03"
"2014-03-31" 5.23424692622951 279.29197080292 0.0641165 39.9927797833935 2014 0.684505156421884 20.6441265136477 4 0.945174243576378 -0.406407959344919 0.0831722414315341 -0.648119800289147 "03"
"2014-04-04" 5.81639232893799 299.102189781022 0.0504065 15.3718411552347 2014 0.720771430640969 19.1304757103087 4 2.1824471375312 -0.631088364920651 0.35356997179314 0.0465928966515619 "04"
"2014-04-05" 6.035994297933 305.583941605839 0.028077 9.31046931407942 2014 0.733422658490096 19.7646027216836 4 2.53986371419018 -0.784281486600865 0.541077714803985 0.180126539909403 "04"
"2014-04-06" 5.8250512295082 308.48905109489 0.02752 13.1119133574007 2014 0.737465265909658 21.3842853515867 4 2.39129189782249 -0.749682030894246 0.505667155685784 0.103839144308796 "04"
"2014-04-07" 5.72821632216678 307.405109489051 0.047247 21.8483754512635 2014 0.732020106624614 20.2014281106374 4 2.11211644611082 -0.604200516701538 0.338934273271684 -0.201036199302588 "04"
"2014-04-13" 5.46352124910905 288.846715328467 0.0425415 49.6028880866426 2014 0.672986617381412 23.1463487110441 4 0.801159658754179 -0.479188594151314 0.186337578087134 -1.22544663858377 "04"
"2014-04-23" 6.09295371525303 317.142335766423 0.02965 17.3898916967509 2014 0.716573489760219 21.113650246272 4 2.35342025695743 -0.736069457015173 0.493462231512035 -0.292191377989419 "04"
"2014-04-24" 5.65463515680684 309.890510948905 0.015063 24.6787003610108 2014 0.698302263418241 21.0530154515827 4 1.77939397216059 -0.738141368633285 0.488043472107522 -0.414024013939811 "04"
"2014-04-25" 6.15073725944405 319.996350364964 0.045961 21.7689530685921 2014 0.719179457552369 20.8104756824554 4 2.33095767753632 -0.639358021697468 0.387029135172075 -0.492816009760218 "04"
"2014-04-26" 6.18296730220955 327.773722627737 0.0459725 20.3971119133574 2014 0.734770328597516 21.1971422679841 4 2.53525501880477 -0.645196489029934 0.404053690141266 -0.462217936084233 "04"
"2014-04-27" 6.03816041518175 327.441605839416 0.0414755 21.927797833935 2014 0.732191094562082 21.8953963839819 4 2.40400792425115 -0.647583087268979 0.40582857422374 -0.472856383834397 "04"
"2014-04-28" 6.07181040627227 326.883211678832 0.0362595 21.3249097472924 2014 0.729161783442766 22.1657138703361 4 2.40629850410433 -0.678815358854743 0.441144472305602 -0.469248836794336 "04"
"2014-04-29" 6.03343839094797 324.631386861314 0.062363 18.2635379061372 2014 0.722420074837833 22.3185708484952 4 2.42934706068924 -0.56423051626464 0.294650723205886 -0.328249770255642 "04"
"2014-04-30" 6.0906762295082 332.13503649635 0.0567145 22.2418772563177 2014 0.737410023374768 22.1776183900379 4 2.50554995591858 -0.57422539454605 0.323935672498683 -0.518551571665516 "04"
"2014-05-01" 5.98598984319316 327.583941605839 0.0598625 21.2635379061372 2014 0.725669280934555 22.4087296137734 4 2.37350391515053 -0.556639953007513 0.292218611903003 -0.440080980016018 "05"
"2014-05-02" 6.07779646293656 335.328467153285 0.030491 14.1805054151625 2014 0.741198959093573 22.9717455213032 4 2.71287846844111 -0.737629460816489 0.5120800250597 -0.22036547800924 "05"
"2014-05-03" 5.9454572790449 342.620437956204 0.0316995 15.9963898916968 2014 0.755704566923904 23.7436502396114 4 2.75069045904267 -0.708735596473589 0.489030298448919 -0.249807324590064 "05"
"2014-05-04" 5.5225966678546 316.456204379562 0.056742 51.5920577617329 2014 0.696550596025418 23.4228565579369 4 1.14838060702379 -0.392271705493704 0.111555023221775 -1.45283911437976 "05"
"2014-05-05" 5.6347614486814 331.21897810219 0.045766 24.6064981949458 2014 0.727578929515339 23.4384122273279 4 2.14484300286699 -0.577732559853438 0.320593561844564 -0.46085819815616 "05"
"2014-05-06" 5.73167431397006 322.514598540146 0.0713145 44.841155234657 2014 0.707074875244559 22.6968248306759 4 1.53935972326555 -0.368652089182923 0.0847284952831514 -1.27741894850999 "05"
"2014-05-07" 5.70616535994298 300.832116788321 0.1038555 30.0505415162455 2014 0.658288608822769 22.5119043229118 4 1.44939165829954 -0.288259020302946 -0.0670352521414103 -0.663041562405948 "05"
"2014-05-08" 5.83867159657876 321.843065693431 0.147552 16.4729241877256 2014 0.702970498815918 23.225713699583 4 2.32287436962821 -0.142946071917777 -0.226075727510962 -0.187646521820588 "05"
"2014-05-09" 5.97668500534569 335.835766423358 0.1530055 9.13718411552347 2014 0.732225902783851 23.8563486129519 4 2.86000437867367 -0.157118809491308 -0.196206116018394 0.0323895400187673 "05"
"2014-05-10" 6.04588938880969 330.394160583942 0.02537 16.5234657039711 2014 0.719117412803581 23.5028566027445 4 2.459850707562 -0.750248886133999 0.517019905821432 -0.331163588949981 "05"
"2014-05-11" 6.08108740199572 336.602189781022 0.0749215 14.1083032490975 2014 0.731404264857517 23.9888883015466 4 2.71024708844127 -0.521227461218381 0.248612899916636 -0.240370239250913 "05"
"2014-05-12" 5.31697701354241 330.86496350365 0.166212 22.1841155234657 2014 0.717774390635164 23.7444439539834 4 2.10898743658764 0.0231178013748845 -0.41202680522205 -0.223493334708256 "05"
"2014-05-16" 5.92239843193158 343.328467153285 0.071253 17.6425992779783 2014 0.740394045637809 23.3311108180455 4 2.64971489266271 -0.505656750828139 0.240688933277149 -0.340932441256026 "05"
"2014-05-17" 6.00542921418389 339 0.050117 25.2274368231047 2014 0.730066997892879 23.0895233154297 4 2.38895519533426 -0.580935034520566 0.33529391726859 -0.676899585047073 "05"
"2014-05-18" 5.69271204561654 339.357664233577 0.0672755 27.1371841155235 2014 0.729881595949356 22.9565074254596 4 2.20914959029004 -0.461840103895589 0.191315014617111 -0.626883530414384 "05"
"2014-05-27" 5.77398877405559 296.284671532847 0.020372 40.5162454873646 2014 0.631142846764937 20.9099995295207 4 0.938667594589708 -0.650894807609479 0.367924608005939 -1.17800741639007 "05"
"2014-05-29" 5.66314927833215 298.270072992701 0.016418 32.3140794223827 2014 0.634334723123744 21.7449200493949 4 1.11207290665014 -0.699079021671106 0.415552610908805 -0.820745366418979 "05"
"2014-05-30" 5.61428635067712 285.029197080292 0.01845 35.7833935018051 2014 0.605719718349659 21.5980948039464 4 0.729008352563871 -0.674165507901143 0.369282077797996 -0.924898551315708 "05"
"2014-05-31" 5.9730766660727 321.080291970803 0.0469505 34.0505415162455 2014 0.681849017812455 21.9534916347928 4 1.72167513897009 -0.558680416861888 0.288087348915031 -1.02291966459835 "05"
"2014-06-01" 5.9970710085531 330.540145985401 0.044024 34.1985559566787 2014 0.701470546263582 22.1411107532562 4 1.92011359904319 -0.570133715771053 0.316642233889012 -1.05001511883695 "06"
"2014-06-02" 6.19288466678546 345.656934306569 0.046378 19.3104693140794 2014 0.733093567066776 23.2914281269861 4 2.68709213811 -0.639868561356314 0.405143334605242 -0.559388041488852 "06"
"2014-06-03" 6.00896516393443 347.102189781022 0.037385 22.7870036101083 2014 0.735729996358272 23.3133328150189 4 2.53115553454068 -0.650802606198171 0.422775175441398 -0.630161761581874 "06"
"2014-06-05" 4.94598627940128 333.248175182482 0.037106 30.85559566787 2014 0.705628840328992 22.6447612520248 4 1.52397078325314 -0.529850443685569 0.253979802374971 -0.521513762919075 "06"
"2014-06-07" 4.91613395402709 314.06204379562 0.035413 35.3321299638989 2014 0.664418368458131 23.265872531467 4 0.998957280385972 -0.522386052693798 0.221141664436589 -0.66780477361319 "06"
"2014-06-08" 5.93046707947256 326.189781021898 0.01596 27.5776173285199 2014 0.689812857938515 23.7507931542775 4 1.9116619753041 -0.734332216391885 0.495735338889765 -0.778748170522412 "06"
