,Date,pv,ghidfm,Mean,cfcdfm,dnidfm,Kt,km,PC1,PC2,PC3,Month
366,2011-01-01,2.99849610294502,147.897810218978,0.013015,29.7242647058824,198.20802919708,0.601738970085735,2,-1.60584091876947,0.637956601389673,-1.29647421705281,1
367,2011-01-02,2.78185646283413,148.569343065693,0.052326,53.1727941176471,194.259124087591,0.602946373413164,2,-2.1545149080199,0.126103744006936,-0.620698993048607,1
368,2011-01-03,2.96166370246378,160.211678832117,0.070679,58.1507352941176,228.850364963504,0.648422697243458,2,-1.60090024085817,0.0423390021495835,-0.454944187957423,1
370,2011-01-05,3.48945964324946,173.868613138686,0.1117945,15.0955882352941,289.01094890511,0.699446768115419,1,0.327667764808085,0.290655982921696,-1.85776053307417,1
371,2011-01-06,3.45257493330543,175.868613138686,0.081221,6.64705882352941,295.51094890511,0.705147429488139,3,0.539439590430676,0.591328785525759,-2.13887872810958,1
372,2011-01-07,3.5306468065073,175.474452554745,0.1007325,5.57720588235294,292.521897810219,0.701102462769899,3,0.571663610897579,0.460877110857287,-2.15340037617545,1
373,2011-01-08,3.30882199089815,167.182481751825,0.0756685,27.8455882352941,254.01094890511,0.665509268205504,1,-0.515611125082344,0.346170148534675,-1.37678140368761,1
374,2011-01-09,3.19172725846106,146.821167883212,0.05721,35.5477941176471,186.197080291971,0.582196261310982,2,-1.78843289126887,0.253683613307359,-1.00171573942944,1
375,2011-01-10,3.19650703562274,170.784671532847,0.0352415,23.1654411764706,262.083941605839,0.67448247847629,1,-0.385885734786667,0.679778726374939,-1.54741686400855,1
377,2011-01-12,3.48711225610713,163.85401459854,0.084705,24.7095588235294,232.452554744526,0.641564347787285,1,-0.661119987720085,0.275340172472446,-1.35491479860905,1
378,2011-01-13,3.6339187634043,173.178832116788,0.0536885,9.42279411764706,273.251824817518,0.674998116185327,1,0.199775279025083,0.721120622148308,-1.84130525876617,1
379,2011-01-14,3.65633990688916,176.098540145985,0.0768145,16.9558823529412,275.321167883212,0.683156791073701,1,0.157776629245718,0.497545213069922,-1.59873996194098,1
380,2011-01-15,3.63651462049485,169.817518248175,0.05705,11.1507352941176,278.251824817518,0.65559940165404,1,0.0729639196029597,0.677498245547883,-1.75987156883849,1
381,2011-01-16,3.74570408536904,182.609489051095,0.075308,9.27205882352941,293.518248175182,0.701467724815185,3,0.617047060864154,0.617119367789252,-1.84196931380602,1
382,2011-01-17,3.06942119579432,170.620437956204,0.12462,27.9154411764706,238.28102189781,0.652053042555419,1,-0.727293617318751,-0.0679538675489064,-1.46940913831079,1
383,2011-01-18,3.53571428571429,169.700729927007,0.2352035,11.3125,260.350364963504,0.645126260241686,1,0.0383879601753953,-0.639744310905964,-1.97754306198943,1
384,2011-01-19,3.59186195532772,176.569343065693,0.1325895,15.9007352941176,263.102189781022,0.667620210555718,1,0.0461618026197126,0.0691099089728968,-1.67749294795822,1
385,2011-01-20,3.62421535805827,180.525547445255,0.088643,16.3308823529412,276.076642335766,0.67881661840766,1,0.178108002010013,0.404614943514576,-1.60589332880663,1
386,2011-01-21,3.61075874875765,165.98905109489,0.0370975,43.4080882352941,225.92700729927,0.620642852309601,1,-1.18734183912404,0.42690195868342,-0.505990807932733,1
387,2011-01-22,3.33180546110791,164.51094890511,0.028459,42.5257352941176,219.105839416058,0.611585237807402,2,-1.40613234597638,0.455146212402512,-0.635507966225559,1
388,2011-01-23,2.76562745200607,127.711678832117,0.038273,57.5919117647059,116.686131386861,0.472004864588602,4,-3.64431291306125,-0.0197372317774908,-0.18318451585187,1
389,2011-01-24,3.21602500392321,144.890510948905,0.089583,52.7683823529412,166.948905109489,0.532311358494776,2,-2.51388045427091,-0.20024467444046,-0.288765458877663,1
390,2011-01-25,3.36649971229795,134.583941605839,0.04775,74.2757352941177,144.839416058394,0.491459417048604,4,-3.37319737516334,-0.131941966996686,0.639605783646425,1
391,2011-01-26,3.35138881623686,150.828467153285,0.060397,59.5147058823529,169.70802919708,0.547403408594033,2,-2.48390785581588,-0.0320196407939266,0.0460806118835274,1
393,2011-01-28,2.718653554428,134.124087591241,0.144079,76.1617647058823,130.306569343066,0.480710430713064,4,-3.75231378807793,-0.924121913185805,0.325123173834933,1
397,2011-02-01,3.89190249516137,149.310218978102,0.069186,64.3161764705882,152.390510948905,0.521446883330928,7,-2.60484301827074,-0.137698965747558,0.528836895110422,2
399,2011-02-03,3.28465501909295,139.098540145985,0.013386,61.0183823529412,129.912408759124,0.479370378572538,4,-3.31217852617828,0.179460196296141,0.260694257612055,2
400,2011-02-04,3.91961343307004,173.788321167883,0.0566645,62.3014705882353,196.689781021898,0.59491523910111,7,-1.70595182678496,0.0644087476074697,0.427790457031743,2
401,2011-02-05,4.12834780561804,200.332116788321,0.063196,63.4926470588235,266.704379562044,0.681169296269346,5,-0.517672642625831,0.166369405349773,0.456760321216433,2
402,2011-02-06,4.3472302139457,207.897810218978,0.060727,18.4522058823529,294.828467153285,0.70211874239358,3,0.850215641054182,0.648826785810601,-1.03916732722097,2
403,2011-02-07,4.16280666422556,195.85401459854,0.0605775,35.9852941176471,251.277372262774,0.656957894807011,1,-0.207487796775353,0.391653878336646,-0.438698858913924,2
404,2011-02-08,3.57782340325365,196.890510948905,0.0498935,38.3602941176471,262.861313868613,0.655940569940642,1,-0.446532351651974,0.409941008548576,-0.6132071546515,2
405,2011-02-09,2.45988518072919,133.259124087591,0.020233,81.9595588235294,116.186131386861,0.440923765603853,4,-4.43838414981627,-0.173704787750558,0.676412291792115,2
