"Date" "pv" "ghidfm" "Mean" "cfcdfm" "Year" "Kt" "taxdfm" "km" "PC1" "PC2" "PC3" "PC4" "Month"
"366" "2011-01-01" 2.99849610294502 147.897810218978 0.013015 29.8628158844765 2011 0.601738970085735 19.0844439703321 2 -1.48490729792471 0.766156024425274 1.26234905881823 1.34880463362264 "01"
"367" "2011-01-02" 2.78185646283413 148.569343065693 0.052326 53.3501805054152 2011 0.602946373413166 20.1315868771265 2 -2.10200853756041 1.08807572314139 0.906998361563511 0.527891186092866 "01"
"368" "2011-01-03" 2.96166370246378 160.211678832117 0.070679 57.9963898916968 2011 0.648422697243457 20.1896821582128 2 -1.73362777465999 1.18843518738773 0.822958954346978 0.333491893760631 "01"
"370" "2011-01-05" 3.48945964324946 173.868613138686 0.1117945 14.8592057761733 2011 0.69944676811542 20.7996821176438 11 0.0277860554823241 1.14243900217811 0.856435558966556 1.88339268040685 "01"
"371" "2011-01-06" 3.45257493330543 175.868613138686 0.081221 6.74729241877256 2011 0.70514742948814 21.3752375557309 11 0.22333560072934 0.958972414513593 1.06852166944177 2.20564410637777 "01"
"372" "2011-01-07" 3.5306468065073 175.474452554745 0.1007325 5.5884476534296 2011 0.701102462769897 20.3626979343475 11 0.281482559539478 1.04164492732 0.966649321372386 2.21895755150211 "01"
"373" "2011-01-08" 3.30882199089815 167.182481751825 0.0756685 27.6823104693141 2011 0.665509268205503 20.2695233481271 2 -0.670374003900481 1.04137446485012 0.973541849653526 1.38613047654678 "01"
"374" "2011-01-09" 3.19172725846106 146.821167883212 0.05721 35.5703971119134 2011 0.582196261310981 19.5441265711709 2 -1.61242001514721 0.992218712400439 0.991815420955993 1.01714910632018 "01"
"375" "2011-01-10" 3.19650703562274 170.784671532847 0.0352415 23.3285198555957 2011 0.674482478476289 19.1901583444505 11 -0.580068167040254 0.835041575033781 1.21969808245095 1.58491449284433 "01"
"377" "2011-01-12" 3.48711225610713 163.85401459854 0.084705 24.8194945848375 2011 0.641564347787286 19.8352377149794 2 -0.680355546804223 1.05586221482734 0.94140366056943 1.38546518393887 "01"
"378" "2011-01-13" 3.6339187634043 173.178832116788 0.0536885 9.73646209386282 2011 0.674998116185329 20.0003169983152 11 0.00130128229832288 0.824046686319148 1.22110610703652 1.93782776489766 "01"
"379" "2011-01-14" 3.65633990688916 176.098540145985 0.0768145 16.9638989169675 2011 0.683156791073702 19.549047167339 11 -0.0642611091847106 0.970276646259703 1.06143030337608 1.65816472316248 "01"
"380" "2011-01-15" 3.63651462049485 169.817518248175 0.05705 11.158844765343 2011 0.655599401654041 19.4947614821177 11 -0.175306851170539 0.846046839025178 1.18580014697065 1.84934479123116 "01"
"381" "2011-01-16" 3.74570408536904 182.609489051095 0.075308 9.15162454873646 2011 0.701467724815185 19.3087296107459 11 0.329198591551421 0.920674021060304 1.12334360999339 1.9352845752493 "01"
"382" "2011-01-17" 3.06942119579432 170.620437956204 0.12462 27.5559566787004 2011 0.65205304255542 20.5469837491474 2 -0.793243001916619 1.30124550626298 0.654285579493352 1.43738552739158 "01"
"383" "2011-01-18" 3.53571428571429 169.700729927007 0.2352035 11.3935018050542 2011 0.645126260241688 19.6990472248622 11 -0.110630978782886 1.72192005098518 0.129590330300094 1.9168594871899 "01"
"384" "2011-01-19" 3.59186195532772 176.569343065693 0.1325895 15.6389891696751 2011 0.66762021055572 18.6973011455839 11 -0.100278745985903 1.24137032861937 0.72667188080979 1.70656417249952 "01"
"385" "2011-01-20" 3.62421535805827 180.525547445255 0.088643 16.1660649819495 2011 0.678816618407662 18.8098408456833 11 -0.0434229938300225 1.02915336491252 0.989673647676808 1.66099752430993 "01"
"386" "2011-01-21" 3.61075874875765 165.98905109489 0.0370975 43.2996389891697 2011 0.620642852309602 20.2515867778233 2 -1.23047243077122 0.904412386209589 1.14142268610093 0.518635164634481 "01"
"387" "2011-01-22" 3.33180546110791 164.51094890511 0.028459 42.6425992779783 2011 0.6115852378074 18.4179360980079 2 -1.42857759451686 0.882433955204661 1.15832889233351 0.63314542066446 "01"
"388" "2011-01-23" 2.76562745200607 127.711678832117 0.038273 57.7075812274368 2011 0.472004864588602 17.9874599244859 2 -3.20971004150439 1.03672959577291 0.901646180241842 0.121399910243932 "01"
"389" "2011-01-24" 3.21602500392321 144.890510948905 0.089583 52.8772563176895 2011 0.532311358494777 18.1239678064982 2 -2.31200351251007 1.23138495278075 0.704773675944004 0.208803848843805 "01"
"390" "2011-01-25" 3.36649971229795 134.583941605839 0.04775 74.2166064981949 2011 0.491459417048605 18.2414282238673 3 -3.12874566632514 1.11378043548339 0.852425200259425 -0.74626307431667 "01"
"391" "2011-01-26" 3.35138881623686 150.828467153285 0.060397 59.1913357400722 2011 0.547403408594031 15.9657139078019 2 -2.28914828381594 1.11075032924546 0.870139583808369 -0.100366689374452 "01"
"393" "2011-01-28" 2.718653554428 134.124087591241 0.144079 76.187725631769 2011 0.480710430713063 18.2503170815725 3 -3.46408772744292 1.646247336676 0.20324686756843 -0.563892118602174 "01"
"397" "2011-02-01" 3.89190249516137 149.310218978102 0.069186 64.1191335740072 2011 0.521446883330929 16.8123805560763 2 -2.30851941624142 1.13175789324893 0.845512319151366 -0.565629396461275 "02"
"399" "2011-02-03" 3.28465501909295 139.098540145985 0.013386 61.072202166065 2011 0.479370378572539 17.4288884722997 2 -2.93222599878698 0.89369744267884 1.09390406505084 -0.282554571089703 "02"
