"Date" "pv" "ghidfm" "Mean" "cfcdfm" "dnidfm" "Kt" "km" "PC1" "PC2" "PC3" "Month"
"2011-01-06" 3.45257493330543 175.868613138686 0.081221 6.64705882352941 295.51094890511 0.705147429488139 3 0.539439590430676 0.591328785525759 -2.13887872810958 1
"2011-01-07" 3.5306468065073 175.474452554745 0.1007325 5.57720588235294 292.521897810219 0.701102462769899 3 0.571663610897579 0.460877110857287 -2.15340037617545 1
"2011-01-16" 3.74570408536904 182.609489051095 0.075308 9.27205882352941 293.518248175182 0.701467724815185 3 0.617047060864154 0.617119367789252 -1.84196931380602 1
"2011-02-06" 4.3472302139457 207.897810218978 0.060727 18.4522058823529 294.828467153285 0.70211874239358 3 0.850215641054182 0.648826785810601 -1.03916732722097 2
"2011-02-11" 4.34081576607208 206.660583941606 0.0475745 20.3382352941176 276.470802919708 0.674469114476886 3 0.510836700920343 0.673011592388795 -0.87697619070611 2
"2011-02-22" 4.73293403776743 235.525547445255 0.0685335 10.7205882352941 314.193430656934 0.713085052327284 3 1.55142548751583 0.683928836384092 -0.982020173614679 2
"2011-02-23" 4.59154809855103 229.197080291971 0.082262 21.3676470588235 294.846715328467 0.689297779583316 3 0.984724205251206 0.439204623543061 -0.656997020810496 2
"2011-02-24" 4.48654339069938 232.846715328467 0.0966455 21.8566176470588 294.700729927007 0.695629202756333 3 1.00148469167203 0.322134470608872 -0.696496072088034 2
"2011-02-25" 4.78045718470471 234.397810218978 0.0279805 24.0183823529412 295.996350364964 0.695645009422939 3 1.03114122075502 0.817571636647411 -0.389480775394579 2
"2011-02-26" 4.83187738661924 241.518248175182 0.0627925 11.0441176470588 315.025547445255 0.712078940761145 3 1.62003815825831 0.719855535953365 -0.871154470572057 2
"2011-02-27" 4.72951430663807 238.762773722628 0.049331 14.3529411764706 305.602189781022 0.699370893587563 3 1.34199403412375 0.756110567515992 -0.763549984070901 2
"2011-02-28" 4.9145655699116 249.916058394161 0.0328395 11.5808823529412 332.897810218978 0.727306589345743 3 1.87008419365575 0.962224543216411 -0.772158155540754 2
"2011-03-01" 4.9339789192865 236.547445255474 0.048506 26.6911764705882 283.156934306569 0.683981993316978 3 0.92915584477566 0.626462674361738 -0.190949637166241 3
"2011-04-08" 3.88331720458231 272.485401459854 0.098946 24.0477941176471 283.094890510949 0.647167819217327 3 0.598813665877645 0.0945855977340776 -0.463956982972995 4
"2011-04-16" 4.65843228540043 290.532846715328 0.083085 26.6801470588235 313.507299270073 0.670916630777527 3 1.31702776247056 0.288737163467495 0.0490596985530581 4
"2011-09-02" 4.81410524663912 276.908759124088 0.040039 22.6066176470588 280.087591240876 0.662094594906395 3 1.0650270648931 0.610930921391732 -0.0157070817519028 9
"2011-09-11" 4.86144531045666 262.156934306569 0.040546 20.9926470588235 269.277372262774 0.649732828641719 3 0.885120827474389 0.62485942645461 -0.117032838303448 9
"2011-09-14" 5.05173405869122 267.700729927007 0.0440225 27.5183823529412 271.824817518248 0.672277771704812 3 1.01634275171898 0.574689702118283 0.171919951146371 9
"2011-09-17" 5.19922058900455 267.20802919708 0.048531 20.4522058823529 282.930656934307 0.680362262885416 3 1.34639922984454 0.643513343740151 -0.0479544572510964 9
"2011-09-26" 4.83838991473558 261.529197080292 0.21401 22.3272058823529 286.671532846715 0.696564092723257 3 1.40603582775709 -0.552309108192592 -0.444313604872459 9
"2011-09-27" 4.86561699011351 266.762773722628 0.163245 9.63235294117647 308.948905109489 0.71430059018349 3 1.90369804966317 -0.0349995293385223 -0.842092441309243 9
"2011-09-28" 4.95747894544123 261.868613138686 0.086674 20.1102941176471 298.700729927007 0.704988126053235 3 1.49621698973712 0.41110314342249 -0.340388732206998 9
"2011-09-29" 5.02278077104148 265.142335766423 0.054781 9.40441176470588 315.255474452555 0.717707336068668 3 1.91166764947384 0.769861345374167 -0.670084920662679 9
"2011-09-30" 4.95190144897212 258.014598540146 0.0535835 7.74632352941176 295.817518248175 0.702278855211629 3 1.65292399492263 0.75543512792549 -0.752918321910129 9
"2011-10-01" 3.93757519485275 249.828467153285 0.140199 19.875 290.07299270073 0.683802895451063 3 0.858956690150645 -0.0696187233728403 -0.911104150521933 10
"2011-10-07" 4.70422268138306 252.423357664234 0.210552 8.80514705882353 314.923357664234 0.715315077617868 3 1.85484998539389 -0.342196629778665 -1.1189672456612 10
"2011-10-08" 4.70539310561281 235.321167883212 0.075858 24.8970588235294 274.605839416058 0.670852057105652 3 0.757169303883733 0.403668008578334 -0.35889990254783 10
"2011-10-09" 4.89129439765654 248.92700729927 0.0795215 9.15073529411765 314.328467153285 0.7139345331311 3 1.75557913816332 0.609418786713263 -0.879878238945712 10
"2011-10-10" 4.69912250876183 246.624087591241 0.0759915 25.9963235294118 309.875912408759 0.711646811893762 3 1.26532034896544 0.464587586841184 -0.382663700719308 10
"2011-10-11" 4.41348014855887 247.872262773723 0.165452 10.4080882352941 319.879562043796 0.719649344012171 3 1.67420108877412 -0.040365125125926 -1.19202765144424 10
"2011-10-12" 4.82601872678768 247.105839416058 0.100247 6.89338235294118 324.175182481752 0.721872679467373 3 1.89347352131225 0.501927152023658 -1.05867987225485 10
"2011-10-13" 4.77966600408014 239.671532846715 0.078537 11.4264705882353 306.875912408759 0.704528363189869 3 1.49824138139416 0.583375719473285 -0.887261622353307 10
"2011-10-14" 4.73822383219124 236.266423357664 0.0897275 27.2463235294118 297.57299270073 0.698887850324432 3 1.05305656256481 0.347416680690542 -0.368971047359913 10
